Transaction_ID;Transaction_date;Supplier;Price;Payment_Type;Client ID;City;State;Country;Account_Created;Last_Login
12398;01/07/09 06:18;25736;1200;Mastercard;54747;Beachwood                   ;OH;United States;2/23/06 11:56;01/11/09 19:35
12399;01/04/09 08:39;25737;3600;Diners;54748;Prince Albert;Saskatchewan;Canada;01/03/09 17:17;01/11/09 21:05
12400;01/05/09 00:31;25738;1200;Mastercard;54749;Saltsjobaden;Stockholm;Sweden;01/04/09 23:45;01/12/09 00:37
12401;01/02/09 06:07;25739;1200;Visa;54750;Kemble;England;United Kingdom;12/30/08 10:21;01/12/09 02:24
12402;01/12/09 03:25;25740;1200;Mastercard;54751;W Lebanon                   ;NH;United States;01/12/09 03:12;01/12/09 03:22
12403;01/04/09 13:56;25741;1200;Mastercard;54752;Headley;England;United Kingdom;11/29/07 9:23;01/12/09 05:38
12404;01/07/09 00:12;25742;3600;Mastercard;54753;Lausanne;Vaud;Switzerland;12/01/08 06:25;01/12/09 06:55
12405;01/12/09 05:18;25743;1200;Mastercard;54754;Southampton;England;United Kingdom;01/12/09 04:45;01/12/09 08:08
12406;01/08/09 15:16;25744;1200;Visa;54755;Woodsboro                   ;MD;United States;01/08/09 14:56;01/12/09 09:29
12407;01/11/09 11:33;25745;1200;Visa;54756;Stavanger;Rogaland;Norway;01/11/09 09:02;01/12/09 10:37
12408;01/07/09 20:22;25746;1200;Visa;54757;Red Deer;Alberta;Canada;11/23/08 19:30;01/12/09 12:24
12409;01/02/09 22:00;25747;1200;Diners;54758;Memphis                     ;TN;United States;01/02/09 21:04;01/12/09 13:18
12410;01/05/09 13:52;25748;1200;Mastercard;54759;Morges;Vaud;Switzerland;01/05/09 05:55;01/12/09 14:04
12411;01/08/09 20:32;25749;1200;Visa;54760;Calgary;Alberta;Canada;01/08/09 20:21;01/12/09 14:07
12412;01/08/09 13:34;25750;1200;Visa;54761;Belleville;Ontario;Canada;01/06/09 14:38;01/12/09 18:31
12413;01/11/09 13:08;25751;1200;Visa;54762;Cincinnati                  ;OH;United States;01/11/09 12:38;01/12/09 18:44
12414;01/12/09 19:04;25752;1200;Visa;54763;Comox;British Columbia;Canada;9/20/08 20:53;01/12/09 19:01
12415;01/12/09 13:41;25753;1200;Visa;54764;Gasperich;Luxembourg;Luxembourg;01/12/09 13:16;1/13/09 1:03
12416;01/11/09 10:38;25754;1200;Mastercard;54765;Helens Bay;Northern Ireland;United Kingdom;09/04/08 09:26;1/13/09 2:36
12417;1/13/09 5:57;25755;1200;Visa;54766;Milan;Lombardy;Italy;10/15/08 5:31;1/13/09 5:55
12418;1/13/09 6:13;25678;1200;Visa;54767;Staten Island               ;NY;United States;1/13/09 5:17;1/13/09 7:33
12419;01/08/09 13:14;25679;1200;Visa;54768;Oslo;Oslo;Norway;01/08/09 12:47;1/13/09 10:49
12420;01/02/09 11:41;25680;1200;Visa;54769;Farmington;Michigan;United States;01/01/09 12:00;1/13/09 18:34
12421;01/07/09 19:50;25681;1200;Diners;54770;Santa Monica                ;CA;United States;01/03/09 12:04;1/13/09 20:17
12422;01/01/09 20:28;25682;1200;Visa;54771;Calgary;Alberta;Canada;01/01/09 20:11;1/13/09 21:11
12423;01/03/09 15:22;25683;1200;Mastercard;54772;Vancouver;British Columbia;Canada;2/20/08 22:45;1/13/09 23:02
12424;01/12/09 03:03;25684;3600;Mastercard;54773;Irvine                      ;CA;United States;01/12/09 02:48;1/14/09 1:07
12425;01/05/09 08:58;25685;3600;Mastercard;54774;Telgte;Nordrhein-Westfalen;Germany;09/01/08 03:39;1/14/09 2:07
12426;01/10/09 14:03;25686;1200;Mastercard;54775;Cheltenham;England;United Kingdom;3/13/06 4:56;1/14/09 2:22
12427;1/13/09 11:26;25687;1200;Visa;54776;Keller                      ;VA;United States;1/13/09 11:15;1/14/09 2:39
12428;01/02/09 12:18;25688;1200;Visa;54777;Nakskov;Storstrom;Denmark;12/05/07 11:37;1/14/09 4:05
12429;1/14/09 4:54;25689;1200;Mastercard;54778;Honolulu                    ;HI;United States;1/14/09 4:34;1/14/09 4:43
12430;01/06/09 17:15;25690;1200;Visa;54779;Bubuieci;Chisinau;Moldova;12/24/08 17:31;1/14/09 10:27
12431;01/03/09 13:56;25691;1200;Visa;54780;Amelia Island               ;FL;United States;01/03/09 12:30;1/14/09 13:03
12432;01/04/09 07:54;25692;1200;Visa;54781;Alliston;Ontario;Canada;10/21/05 21:49;1/14/09 13:06
12433;01/12/09 07:28;25693;1200;Amex;54782;La Alberca;Murcia;Spain;12/10/08 16:41;1/14/09 13:44
12434;01/06/09 15:15;25694;1200;Mastercard;54783;Rathgar;Dublin;Ireland;01/06/09 14:59;1/14/09 14:33
12435;1/13/09 23:56;25695;1200;Mastercard;54784;Coral Gables                ;FL;United States;1/13/09 23:13;1/14/09 15:17
12436;1/14/09 19:32;25696;1200;Visa;54785;Miami                       ;FL;United States;12/16/08 22:19;1/14/09 19:28
12437;01/06/09 21:13;25697;1200;Visa;54786;Vancouver;British Columbia;Canada;01/07/08 21:16;1/14/09 20:50
12438;1/14/09 11:19;25698;1200;Visa;54787;Jumeira;Dubayy;United Arab Emirates;1/14/09 10:44;1/14/09 21:26
12439;1/13/09 19:39;25699;1200;Visa;54788;Englewood                   ;CO;United States;01/06/09 22:00;1/14/09 22:02
12440;01/08/09 07:26;25700;1200;Mastercard;54711;Bournemouth;England;United Kingdom;1/25/08 15:46;1/15/09 1:36
12441;1/15/09 2:40;25701;1200;Mastercard;54701;Genoa                       ;IL;United States;1/15/09 2:04;1/15/09 2:04
12442;01/12/09 06:40;25702;1200;Visa;54702;Al 'Adliyah;Al Manamah;Bahrain;01/10/09 12:50;1/15/09 4:46
12443;1/15/09 3:43;25703;1200;Visa;54703;Rouen;Upper Normandy;France;12/26/08 9:01;1/15/09 5:39
12444;01/05/09 15:39;25704;1200;Visa;54704;Parkland                    ;FL;United States;12/10/08 09:14;1/15/09 6:01
12445;01/10/09 05:21;25705;1200;Amex;54705;San Francisco               ;CA;United States;01/10/09 00:07;1/15/09 6:25
12446;1/15/09 4:12;25706;1200;Mastercard;54706;Keller                      ;VA;United States;1/15/09 4:02;1/15/09 6:59
12447;01/12/09 11:48;25707;1200;Visa;54707;Tsawwassen;British Columbia;Canada;7/24/08 15:48;1/15/09 8:56
12448;01/06/09 10:48;25708;1200;Mastercard;54708;Clinton                     ;NJ;United States;8/21/07 21:19;1/15/09 9:32
12449;1/14/09 9:10;25709;1200;Mastercard;54709;Owensboro                   ;KY;United States;1/14/09 8:25;1/15/09 9:40
12450;1/14/09 22:44;25710;1200;Visa;54710;Lakewood Village            ;TX;United States;1/14/09 22:21;1/15/09 9:50
12451;01/06/09 07:23;25711;1200;Visa;54711;Okotoks;Alberta;Canada;7/21/08 12:03;1/15/09 10:00
12452;01/01/09 05:04;25712;1200;Mastercard;54711;Glimmen;Groningen;Netherlands;12/16/02 4:09;1/15/09 10:50
12453;1/15/09 11:56;25713;1200;Visa;54701;Calgary;Alberta;Canada;1/14/09 9:16;1/15/09 11:39
12454;1/15/09 11:58;25714;1200;Visa;54702;Kanata;Ontario;Canada;1/14/09 5:59;1/15/09 11:49
12455;01/12/09 09:43;25715;1200;Diners;54703;Bergen;Nordrhein-Westfalen;Germany;01/07/09 08:39;1/15/09 12:14
12456;1/15/09 12:33;25716;1200;Visa;54704;College Park                ;MD;United States;1/15/09 12:19;1/15/09 13:28
12457;1/14/09 11:35;25717;1200;Visa;54705;Kailua Kona                 ;HI;United States;1/13/09 17:42;1/15/09 15:31
12458;1/14/09 15:40;25718;1200;Amex;54706;Redondo Beach               ;CA;United States;1/13/09 19:37;1/15/09 15:45
12459;01/03/09 11:08;25719;1200;Amex;54707;Fountain Hls                ;AZ;United States;06/05/06 22:42;1/15/09 16:37
12460;01/12/09 01:37;25720;1200;Visa;54708;Brisbane;Queensland;Australia;01/12/09 01:26;1/15/09 17:54
12461;1/16/09 7:21;25721;2100;Mastercard;54709;Mahopac                     ;NY;United States;11/03/08 14:28;1/16/09 6:08
12462;1/15/09 12:54;25722;1200;Mastercard;54710;Ile-Perrot;Quebec;Canada;1/15/09 12:22;1/16/09 7:53
12463;01/07/09 07:19;25723;1200;Amex;54711;Bruxelles;Brussels (Bruxelles);Belgium;6/30/08 9:33;1/16/09 8:54
12464;01/03/09 09:56;25724;1200;Visa;54711;Chicago                     ;IL;United States;12/31/08 16:26;1/16/09 13:43
12465;1/16/09 17:41;25725;1200;Visa;54701;Rayford                     ;TX;United States;1/16/09 17:01;1/16/09 17:56
12466;01/05/09 05:33;25726;1200;Visa;54702;Escondido                   ;CA;United States;01/05/09 03:19;1/17/09 0:35
12467;01/02/09 00:50;25727;1200;Visa;54703;Tesvikiye;Istanbul;Turkey;01/02/09 00:10;1/17/09 1:57
12468;1/13/09 1:51;25728;1200;Visa;54704;Centurion;Gauteng;South Africa;01/12/09 01:40;1/17/09 2:23
12469;1/15/09 10:24;25729;1200;Visa;54705;York;England;United Kingdom;1/13/09 12:30;1/17/09 4:42
12470;01/11/09 08:59;25730;1200;Visa;54706;Ashburn                     ;VA;United States;11/09/08 05:53;1/17/09 8:54
12471;1/15/09 15:56;25731;1200;Amex;54707;Los Angeles                 ;CA;United States;11/11/05 11:49;1/17/09 10:54
12472;01/01/09 12:19;25732;1200;Visa;54708;Edgewood                    ;WA;United States;1/16/06 14:45;1/17/09 11:38
12473;01/06/09 14:03;25733;1200;Visa;54709;New York                    ;NY;United States;05/01/08 08:26;1/17/09 11:44
12474;01/09/09 15:32;25734;1200;Diners;54710;Basingstoke;England;United Kingdom;01/07/09 12:31;1/17/09 12:03
12475;1/17/09 12:59;25735;1200;Diners;54711;Den Haag;Zuid-Holland;Netherlands;10/29/08 13:09;1/17/09 13:07
12476;01/12/09 12:37;25736;1200;Visa;54711;Marietta                    ;GA;United States;9/13/07 14:20;1/17/09 16:17
12477;01/04/09 07:43;25737;1200;Mastercard;54701;Houston                     ;TX;United States;01/04/09 06:51;1/17/09 17:31
12478;1/17/09 16:22;25738;1200;Visa;54702;West Orange                 ;NJ;United States;1/17/09 15:22;1/17/09 18:42
12479;01/01/09 03:51;25739;1200;Mastercard;54703;Amsterdam;Noord-Holland;Netherlands;9/14/05 22:53;1/17/09 22:34
12480;1/18/09 5:27;25740;1200;Visa;54704;Downey                      ;CA;United States;1/18/09 4:28;1/18/09 4:42
12481;1/18/09 5:15;25741;1200;Diners;54705;Urlingford;Kilkenny;Ireland;1/18/09 4:44;1/18/09 4:44
12482;01/01/09 01:51;25742;1200;Mastercard;54706;Holte;Kobenhavn;Denmark;12/14/05 15:46;1/18/09 4:44
12483;1/18/09 6:30;25743;1200;Visa;54707;Freienbach;Schwyz;Switzerland;6/22/08 14:10;1/18/09 6:21
12484;01/11/09 10:51;25744;1200;Mastercard;54708;Hofheim am Taunus;Hessen;Germany;12/06/08 01:34;1/18/09 7:17
12485;01/04/09 17:02;25745;1200;Mastercard;54709;Lafayette                   ;CA;United States;12/31/05 0:55;1/18/09 8:43
12486;1/17/09 1:23;25746;1200;Amex;54710;Mushrif;;Kuwait;1/16/09 14:26;1/18/09 9:08
12487;1/18/09 2:16;25747;1200;Visa;54711;Nashville                   ;AR;United States;1/16/09 19:32;1/18/09 9:13
12488;1/18/09 11:34;25748;3600;Visa;54711;New Malden;England;United Kingdom;10/28/05 14:57;1/18/09 10:27
12489;1/18/09 4:38;25749;1200;Visa;54701;Bishop Auckland;England;United Kingdom;12/28/07 13:39;1/18/09 11:58
12490;1/18/09 13:26;25750;7500;Mastercard;54702;Navan;Meath;Ireland;1/18/09 12:20;1/18/09 12:20
12491;1/18/09 11:53;25751;1200;Visa;54703;Joppa;MD;United States;1/18/09 0:00;1/18/09 12:23
12492;1/18/09 12:04;25752;1200;Visa;54704;Joppa;MD;United States;1/18/09 0:00;1/18/09 12:23
12493;1/13/09 19:54;25753;1200;Diners;54705;Hampton                     ;NJ;United States;01/03/06 06:09;1/18/09 12:51
12494;01/05/09 21:06;25754;1200;Mastercard;54706;Louisville                  ;KY;United States;01/05/09 16:27;1/18/09 13:58
12495;1/14/09 6:32;25755;1200;Visa;54707;Broadlands                  ;VA;United States;04/12/06 06:14;1/18/09 14:04
12496;01/04/09 23:48;25678;1200;Diners;54708;Yellowknife;Northwest Territories;Canada;01/04/09 22:41;1/18/09 16:17
12497;1/18/09 16:32;25679;3600;Visa;54709;Los Angeles                 ;CA;United States;1/18/09 16:23;1/18/09 16:54
12498;1/18/09 17:04;25680;3600;Visa;54710;New York                    ;NY;United States;1/18/09 16:58;1/18/09 16:58
12499;1/18/09 17:20;25681;3600;Visa;54711;Saint Paul                  ;MN;United States;1/18/09 17:16;1/18/09 17:16
12500;1/18/09 17:39;25682;3600;Visa;54700;New York                    ;NY;United States;1/18/09 17:34;1/18/09 17:34
12501;01/11/09 11:20;25683;1200;Visa;54701;Spring Lake Park            ;MN;United States;12/31/08 19:48;1/18/09 17:43
12502;1/13/09 20:59;25684;1200;Mastercard;54702;Winnipeg;Manitoba;Canada;1/13/09 16:44;1/18/09 19:17
12503;01/12/09 16:50;25685;1200;Visa;54703;Seattle                     ;WA;United States;01/04/09 21:33;1/19/09 1:22
12504;01/12/09 15:12;25686;1200;Mastercard;54704;Deptford                    ;NJ;United States;01/12/09 14:07;1/19/09 3:47
12505;01/06/09 12:27;25687;1200;Mastercard;54705;Amsterdam;Noord-Holland;Netherlands;01/06/09 12:04;1/19/09 4:59
12506;01/09/09 18:52;25688;1200;Visa;54706;Alpharetta                  ;GA;United States;11/25/08 7:56;1/19/09 6:12
12507;1/18/09 23:17;25689;1200;Visa;54707;Washington                  ;DC;United States;1/18/09 15:18;1/19/09 6:13
12508;01/07/09 08:21;25690;1200;Visa;54708;Holmenkollen;Oslo;Norway;01/03/09 11:06;1/19/09 6:54
12509;01/03/09 09:54;25691;1200;Visa;54709;Zekeriyakoy;Istanbul;Turkey;12/29/08 10:38;1/19/09 7:37
12510;01/05/09 19:37;25692;1200;Amex;54710;Washington                  ;DC;United States;11/07/07 09:49;1/19/09 7:42
12511;01/04/09 12:49;25693;1200;Diners;54711;Montreal;Quebec;Canada;5/25/07 10:58;1/19/09 7:58
12512;01/08/09 11:55;25694;3600;Visa;54701;Braunschweig;Lower Saxony;Germany;01/03/09 12:39;1/19/09 8:31
12513;1/14/09 18:21;25695;1200;Visa;54702;Athens                      ;GA;United States;9/25/05 6:25;1/19/09 11:21
12514;01/11/09 19:01;25696;1200;Diners;54703;Hoschton                    ;GA;United States;01/11/09 18:17;1/19/09 12:47
12515;1/14/09 5:20;25697;3600;Visa;54704;Binningen;Basel-Country;Switzerland;01/12/09 13:31;1/19/09 13:07
12516;1/15/09 8:07;25698;1200;Visa;54705;Royal Oak                   ;MI;United States;12/13/08 19:35;1/19/09 14:59
12517;1/15/09 8:10;25699;1200;Visa;54706;Royal Oak                   ;MI;United States;12/13/08 19:35;1/19/09 14:59
12518;01/02/09 17:45;25700;1200;Mastercard;54707;Belmont                     ;MA;United States;12/09/05 17:19;1/19/09 15:36
12519;1/19/09 16:10;25701;1200;Mastercard;54708;Old Greenwich               ;CT;United States;1/19/09 15:31;1/19/09 16:00
12520;1/19/09 16:55;25702;1200;Mastercard;54709;Coconut Grove               ;FL;United States;1/19/09 16:18;1/19/09 16:18
12521;01/10/09 17:41;25703;1200;Visa;54710;Vienna                      ;VA;United States;01/10/09 16:32;1/19/09 17:52
12522;1/18/09 13:49;25704;3600;Visa;54711;San Ramon                   ;CA;United States;01/11/09 12:00;1/19/09 18:07
12523;1/15/09 5:47;25705;1200;Visa;54712;Norfolk                     ;VA;United States;1/15/09 0:21;1/19/09 22:48
12524;1/19/09 23:06;25706;1200;Mastercard;54713;Norfolk                     ;VA;United States;1/19/09 22:53;1/19/09 22:53
12525;1/19/09 11:12;25707;1200;Visa;54714;Aberdeen;Scotland;United Kingdom;8/27/08 8:22;1/20/09 0:35
12526;01/04/09 01:38;25708;1200;Amex;54715;Charlestown;New South Wales;Australia;7/15/08 21:04;1/20/09 1:08
12527;1/20/09 3:11;25709;1200;Visa;54716;Wigan;England;United Kingdom;1/20/09 3:02;1/20/09 3:06
12528;01/03/09 10:52;25710;1200;Visa;54717;Rockville                   ;MD;United States;4/18/05 9:27;1/20/09 6:47
12529;1/20/09 5:24;25711;7500;Mastercard;54718;Shreveport                  ;LA;United States;1/20/09 5:13;1/20/09 7:15
12530;1/20/09 6:03;25712;1200;Mastercard;54719;Shreveport                  ;LA;United States;1/20/09 5:13;1/20/09 7:15
12531;01/10/09 11:37;25713;1200;Amex;54720;Little Silver               ;NJ;United States;12/28/08 20:10;1/20/09 7:42
12532;1/20/09 5:50;25714;1200;Visa;54721;Abbey Town;England;United Kingdom;1/20/09 4:23;1/20/09 7:46
12533;1/19/09 16:32;25715;1200;Amex;54722;Mid City West               ;PA;United States;1/19/09 10:24;1/20/09 10:09
12534;1/18/09 10:42;25716;1200;Visa;54723;Atlanta;Georgia;United States;1/18/09 0:00;1/20/09 11:09
12535;01/07/09 06:11;25717;3600;Visa;54724;Paris;Ile-de-France;France;01/07/09 05:30;1/20/09 11:22
12536;01/03/09 08:29;25718;1200;Visa;54725;Milton Keynes;England;United Kingdom;10/10/08 01:26;1/20/09 11:31
12537;01/01/09 02:09;25719;1200;Mastercard;54726;Dresden;Saxony;Germany;03/12/06 11:31;1/20/09 11:56
12538;1/20/09 12:34;25720;1200;Mastercard;54727;NYC                         ;NY;United States;1/20/09 12:17;1/20/09 12:55
12539;1/20/09 3:51;25721;1200;Visa;54728;The Grange;Queensland;Australia;11/12/08 03:34;1/20/09 13:11
12540;1/15/09 11:26;25722;1200;Visa;54729;Brookline                   ;MA;United States;07/11/07 11:18;1/20/09 14:01
12541;01/05/09 16:55;25723;1200;Visa;54730;Montreal-Nord;Quebec;Canada;9/29/03 17:08;1/20/09 14:38
12542;01/12/09 19:47;25724;1200;Mastercard;54731;Irving                      ;TX;United States;12/10/08 21:49;1/20/09 18:02
12543;01/04/09 19:20;25725;1200;Amex;54732;Ottawa Hills                ;OH;United States;01/04/09 18:38;1/20/09 18:03
12544;01/10/09 08:33;25726;3600;Mastercard;54733;Portola Valley              ;CA;United States;02/04/07 10:09;1/20/09 22:06
12545;01/09/09 14:51;25727;1200;Visa;54734;Sydney;New South Wales;Australia;01/07/09 18:15;1/21/09 0:29
12546;1/16/09 2:41;25728;7500;Visa;54735;Kearns                      ;UT;United States;1/15/09 18:01;1/21/09 1:02
12547;1/16/09 18:36;25729;1200;Visa;54736;Wollongong;New South Wales;Australia;11/01/08 16:32;1/21/09 1:49
12548;1/20/09 8:10;25730;1200;Amex;54737;Brooklyn                    ;NY;United States;08/05/07 18:52;1/21/09 5:16
12549;01/06/09 12:45;25731;3600;Amex;54738;Penngrove                   ;CA;United States;01/05/09 14:06;1/21/09 11:18
12550;01/10/09 08:13;25732;1200;Visa;54739;Lemont                      ;IL;United States;01/09/09 19:15;1/21/09 11:35
12551;01/07/09 14:15;25733;1200;Mastercard;54740;San Carlos                  ;CA;United States;01/05/09 15:42;1/21/09 12:00
12552;01/08/09 15:27;25734;1200;Mastercard;54741;Chicago                     ;IL;United States;01/04/09 22:22;1/21/09 13:28
12553;1/21/09 11:36;25735;1200;Visa;54742;Oslo;Oslo;Norway;12/23/08 12:02;1/21/09 13:47
12554;1/21/09 14:06;25736;1200;Visa;54743;Wantagh;NY;United States;1/21/09 12:00;1/21/09 14:06
12555;01/02/09 02:28;25737;1200;Mastercard;54744;Coomera;Queensland;Australia;05/03/08 04:14;1/21/09 16:37
12556;1/19/09 19:07;25738;1200;Diners;54745;Fort Oglethorpe             ;GA;United States;1/19/09 16:52;1/21/09 17:02
12557;1/18/09 6:27;25739;1200;Mastercard;54746;Corbin City                 ;NJ;United States;10/27/05 19:22;1/21/09 17:10
12558;1/20/09 11:58;25740;1200;Mastercard;54747;Lakeside                    ;CA;United States;11/01/08 23:14;1/21/09 17:25
12559;1/20/09 16:32;25741;1200;Visa;54748;Margate                     ;FL;United States;01/02/08 09:52;1/21/09 19:05
12560;01/01/09 07:09;25742;1200;Amex;54749;South Palm Beach            ;FL;United States;2/28/05 5:40;1/21/09 19:14
12561;1/21/09 14:55;25743;1200;Diners;54750;New York                    ;NY;United States;1/21/09 10:23;1/21/09 20:34
12562;01/07/09 22:29;25744;1200;Mastercard;54751;Anchorage                   ;AK;United States;01/07/09 13:23;1/21/09 22:30
12563;01/11/09 22:22;25745;3600;Visa;54752;Mona Vale;New South Wales;Australia;12/30/08 17:48;1/21/09 22:33
